resort_name,resort_type,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
Steamboat,Ikon,"Colorado, United States",4.0,13,15,0,5,17,5,40.4537,-106.7587,2026-02-19 16:00:16+00:00
Stratton,Ikon,"Vermont, United States",0.0,1,12,4,13,6,10,43.103,-72.9097,2026-02-19 16:06:19+00:00
Sugarbush,Ikon,"Vermont, United States",0.0,3,12,7,8,4,6,44.1289,-72.9195,2026-02-19 16:06:31+00:00
Sugarloaf,Ikon,"Maine, United States",0.0,3,6,2,5,5,6,45.035,-70.3145,2026-02-19 17:13:52+00:00
Summit Central at Snoqualmie,Ikon,"Washington, United States",3.0,5,4,0,6,27,11,47.4018,-121.4217,2026-02-19 16:01:23+00:00
Summit East at Snoqualmie,Ikon,"Washington, United States",3.0,5,4,0,3,21,9,47.3885,-121.4023,2026-02-19 15:55:41+00:00
Summit West at Snoqualmie,Ikon,"Washington, United States",3.0,5,4,0,5,24,10,47.4219,-121.4204,2026-02-19 15:54:56+00:00
Sun Peaks Resort,Ikon,"British Columbia, Canada",0.0,4,10,2,2,7,5,50.9,-119.8803,2026-02-19 16:13:25+00:00
Sun Valley,Ikon,"Idaho, United States",0.0,18,0,4,0,9,0,43.6651,-114.3972,2026-02-19 16:54:04+00:00
Sunday River,Ikon,"Maine, United States",0.0,0,5,3,7,4,7,44.46,-70.8738,2026-02-19 16:54:34+00:00
Taos,Ikon,"New Mexico, United States",2.0,5,7,0,6,0,2,36.5823,-105.4517,2026-02-19 16:42:48+00:00
The Highlands,Ikon,"Michigan, United States",2.0,2,1,0,6,6,7,45.4716,-84.944,2026-02-19 16:54:04+00:00
The Remarkables,Ikon,"Otago, New Zealand",,0,1,0,2,1,0,-45.0589,168.8132,2026-02-19 16:30:25+00:00
Thredbo,Ikon,"New South Wales, Australia",0.0,0,0,0,0,0,0,-36.4929,148.301,2026-02-19 15:49:03+00:00
Valle Nevado,Ikon,"Regíon Metropolitana de Santiago, Chile",0.0,0,0,0,0,0,0,-33.3404,-70.2495,2026-02-19 16:42:49+00:00
Winter Park,Ikon,"Colorado, United States",4.0,6,6,0,4,8,6,39.8631,-105.7736,2026-02-19 16:48:19+00:00
Yunding Snow Park,Ikon,"Hebei, China",0.0,0,0,0,0,2,4,40.9652,115.3066,2026-02-19 16:55:13+00:00
Zao Onsen,Ikon,"Yamagata, Japan",4.0,4,6,10,0,3,3,38.1496,140.4045,2026-02-19 16:48:39+00:00
Zermatt,Ikon,"Wallis, Switzerland",0.0,6,1,1,2,7,14,45.9935,7.7563,2026-02-19 16:48:09+00:00
