resort_name,source,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
Buttermilk,Ikon,"Colorado, United States",0.0,0,0,0,0,0,0,39.1901,-106.8705,2026-03-24 12:55:30+00:00
Camelback,Ikon,"Pennsylvania, United States",0.0,0,1,1,0,0,0,41.0445,-75.3525,2026-03-24 13:30:12+00:00
Carezza,Ikon,"Bolzano, Italy",0.0,4,7,0,6,2,2,46.4126,11.6053,2026-03-24 13:00:31+00:00
Cervino Ski Paradise,Ikon,"Valle d'Aosta, Italy",0.0,6,39,8,3,1,10,45.9462,7.6931,2026-03-24 12:25:10+00:00
Chamonix,Ikon,"Haute-Savoie, France",0.0,6,20,7,23,4,8,45.8859,6.9339,2026-03-24 13:37:53+00:00
Civetta,Ikon,"Belluno, Italy",0.0,2,11,0,6,1,8,46.4153,12.0686,2026-03-24 13:42:55+00:00
Copper Mountain,Ikon,"Colorado, United States",1.0,1,4,6,0,3,0,39.4807,-106.1592,2026-03-24 12:42:02+00:00
Coronet Peak,Ikon,"Otago, New Zealand",0.0,0,0,0,0,0,0,-44.9214,168.737,2026-03-24 12:25:36+00:00
Cortina,Ikon,"Belluno, Italy",0.0,2,9,1,9,0,5,46.5401,12.0905,2026-03-24 12:25:17+00:00
Corvara (Alta Badia),Ikon,"Bolzano, Italy",0.0,2,8,0,10,0,6,46.5491,11.8987,2026-03-24 12:55:00+00:00
Courmayeur,Ikon,"Valle d'Aosta, Italy",0.0,8,15,10,10,0,5,45.7879,6.9344,2026-03-24 13:08:02+00:00
Crystal Mountain,Ikon,"Washington, United States",0.0,0,2,38,6,9,2,46.9294,-121.4944,2026-03-24 13:24:17+00:00
Cypress Mountain,Ikon,"British Columbia, Canada",,1,7,28,10,13,5,49.4001,-123.1979,2026-03-24 13:07:30+00:00
Deer Valley,Ikon,"Utah, United States",0.0,0,1,0,0,5,4,40.611,-111.4999,2026-03-24 12:54:14+00:00
Eldora,Ikon,"Colorado, United States",0.0,0,8,7,0,0,2,39.9369,-105.5899,2026-03-24 13:42:23+00:00
Furano,Ikon,"Hokkaidô, Japan",1.0,12,2,1,0,3,4,43.3315,142.3318,2026-03-24 13:37:33+00:00
Grands Montets,Ikon,"Haute-Savoie, France",0.0,3,12,10,21,4,5,45.9597,6.9423,2026-03-24 13:31:11+00:00
Grandvalira,Ikon,"Encamp, Andorra",0.0,2,8,1,1,10,13,42.5538,1.6609,2026-03-24 13:25:01+00:00
Hoshino Resorts Nekoma Mountain,Ikon,"Hukusima, Japan",0.0,3,0,2,0,0,1,37.6027,140.0359,2026-03-24 12:42:03+00:00
Jackson Hole,Ikon,"Wyoming, United States",0.0,0,5,13,0,5,2,43.5934,-110.8523,2026-03-24 12:37:21+00:00
June Mountain,Ikon,"California, United States",,0,0,0,0,5,0,37.7441,-119.0698,2026-03-24 12:49:42+00:00
Killington,Ikon,"Vermont, United States",0.0,3,5,3,1,0,8,43.6107,-72.8113,2026-03-24 12:44:02+00:00
Kirchberg,Ikon,"Tirol, Austria",0.0,0,8,1,19,18,12,47.4281,12.3535,2026-03-24 13:42:50+00:00
Kitzbühel,Ikon,"Tirol, Austria",0.0,0,7,0,17,15,12,47.4623,12.4074,2026-03-24 13:43:02+00:00
Kronplatz,Ikon,"Bolzano, Italy",0.0,1,6,0,8,1,5,46.7393,11.9672,2026-03-24 12:55:47+00:00
La Thuile,Ikon,"Valle d'Aosta, Italy",0.0,5,16,6,10,2,8,45.693,6.9301,2026-03-24 13:06:41+00:00
Lake Louise,Ikon,"Alberta, Canada",0.0,13,15,17,12,5,2,51.4536,-116.1388,2026-03-24 13:16:01+00:00
Le Tour,Ikon,"Haute-Savoie, France",0.0,4,12,9,17,4,0,46.0084,6.9612,2026-03-24 12:24:21+00:00
Les Houches,Ikon,"Haute-Savoie, France",0.0,2,13,4,20,2,0,45.8829,6.7656,2026-03-24 12:30:48+00:00
Loon Mountain,Ikon,"New Hampshire, United States",3.0,9,4,5,2,1,8,44.0434,-71.6285,2026-03-24 12:31:55+00:00
Lotte Arai,Ikon,"Niigata, Japan",0.0,2,1,13,0,0,1,36.992,138.1499,2026-03-24 13:25:02+00:00
Mammoth Mountain,Ikon,"California, United States",,0,0,0,0,11,0,37.6368,-119.0246,2026-03-24 12:37:41+00:00
Megeve,Ikon,"Haute-Savoie, France",0.0,2,13,5,20,2,0,45.8504,6.6696,2026-03-24 12:25:00+00:00
Mittersill,Ikon,"Tirol, Austria",0.0,1,10,1,22,12,7,47.3125,12.3773,2026-03-24 12:24:41+00:00
Mona Yongpyong,Ikon,"Gang'weondo, South Korea",0.0,0,0,9,0,0,0,37.6351,128.6833,2026-03-24 12:32:31+00:00
Mont Tremblant,Ikon,"Quebec, Canada",0.0,11,8,5,6,9,3,46.2192,-74.5693,2026-03-24 13:03:23+00:00
Monterosa Ski,Ikon,"Valle d'Aosta, Italy",0.0,11,35,2,1,0,5,45.7657,7.7605,2026-03-24 12:48:18+00:00
Mt Buller ,Ikon,"Victoria, Australia",0.0,0,0,0,0,0,0,-37.1432,146.444,2026-03-24 13:14:21+00:00
Mt Hutt,Ikon,"Canterbury, New Zealand",0.0,0,0,1,0,0,0,-43.4908,171.5354,2026-03-24 12:48:37+00:00
Mt. Bachelor,Ikon,"Oregon, United States",,0,0,7,2,6,3,43.9907,-121.6815,2026-03-24 13:42:23+00:00
Mt. Norquay Banff,Ikon,"Alberta, Canada",0.0,1,2,13,9,2,0,51.201,-115.6067,2026-03-24 13:14:45+00:00
Myoko Suginohara,Ikon,"Niigata, Japan",0.0,2,1,12,0,0,8,36.867,138.1311,2026-03-24 12:42:49+00:00
Niseko Annupuri,Ikon,"Hokkaidô, Japan",0.0,6,0,2,1,3,4,42.8629,140.6561,2026-03-24 12:42:37+00:00
Niseko Grand Hirafu,Ikon,"Hokkaidô, Japan",0.0,4,2,4,0,2,4,42.8688,140.6823,2026-03-24 12:37:29+00:00
Niseko Hanazono,Ikon,"Hokkaidô, Japan",0.0,5,2,3,0,2,3,42.881,140.6775,2026-03-24 12:42:37+00:00
Niseko Village,Ikon,"Hokkaidô, Japan",0.0,9,1,12,0,2,4,42.8558,140.6697,2026-03-24 12:42:55+00:00
